date,code,name,amount,cost,top_cost,low_cost,middle_cost
2020-10-08,104,갈치,3231.4,48802000,46000,1300,5000
2020-10-09,104,갈치,1487.9,28043000,45833,3666,25000
2020-10-10,104,갈치,1251.5,21954000,40000,3666,24444
2020-10-11,104,갈치,1251.5,21954000,40000,3666,24444
2020-10-12,104,갈치,1098.7,17378000,55000,2833,22857
2020-10-13,104,갈치,4751.4,88152000,32291,1800,19675
2020-10-14,104,갈치,4179.5,46339000,31250,500,2450
2020-10-15,104,갈치,3377,38318000,30000,1300,9900
2020-10-16,104,갈치,1958.1,28939000,35416,2666,17000
2020-10-17,104,갈치,1325.9,19611000,32000,3333,17000
2020-10-18,104,갈치,1325.9,19611000,32000,3333,17000
2020-10-19,104,갈치,2989,49884000,30000,2300,10000
2020-10-20,104,갈치,2185.5,32307650,30000,750,8963
2020-10-21,104,갈치,2504.4,33001000,31000,2000,13166.5
2020-10-22,104,갈치,1421.2,19640000,38000,4666,17777
2020-10-23,104,갈치,1874.8,31528000,34400,1800,18250
2020-10-24,104,갈치,1852.5,24826000,40000,1300,13400
2020-10-25,104,갈치,1852.5,24826000,40000,1300,13400
2020-10-26,104,갈치,1876.8,32538000,37500,1200,12400
2020-10-27,104,갈치,2151.1,41397000,34000,1700,21111
2020-10-28,104,갈치,2072.3,37842000,35000,3166,20000
2020-10-29,104,갈치,1970.1,25734000,30600,1875,10250
2020-10-30,104,갈치,1465.9,19075000,32000,1600,15166.5
2020-10-31,104,갈치,2427.1,25017000,80000,2600,12150
2020-11-01,104,갈치,2427.1,25017000,80000,2600,12150
2020-11-02,104,갈치,3422.6,45164000,32000,700,4500
2020-11-03,104,갈치,2213.5,22453000,40000,600,14736
2020-11-04,104,갈치,1745.8,39751000,44000,3142,25777
2020-11-05,104,갈치,1602.8,31654000,32000,4000,20000
2020-11-06,104,갈치,4030,36220000,35000,1000,13040
2020-11-07,104,갈치,3198.6,32575000,34000,500,3800
2020-11-08,104,갈치,3198.6,32575000,34000,500,3800
2020-11-09,104,갈치,2248.5,30254000,34000,1875,10208
2020-11-10,104,갈치,3528.8,42793000,33000,1200,9805.5
2020-11-11,104,갈치,2727.7,39331000,33000,1300,16000
2020-11-12,104,갈치,2093.1,33062000,34482,1800,12750
2020-11-13,104,갈치,2721.5,45941000,32000,3500,21000
