Date,Open,High,Low,Adj Close,Volume,Close
2022-12-23,15.196,15.339,14.883,15.198544,349325630,15.206
2022-12-27,15.074,15.1,14.056,14.114077,464902260,14.121
2022-12-28,13.927,14.262,13.884,14.029118,351066450,14.036
2022-12-29,14.402,14.683,14.227,14.595839,354923240,14.603
2022-12-30,14.334,14.62899,14.233,14.606833,310489830,14.614
2023-01-03,14.851,14.996,14.096,14.30798,401276580,14.315
2023-01-04,14.567,14.853,14.241,14.741767,431323600,14.749
2023-01-05,14.491,14.564,14.14795,14.258005,389168110,14.265
2023-01-06,14.474,15.01,14.034,14.851713,405043620,14.859
2023-01-09,15.284,16.056,15.141,15.620337,504230560,15.628
2023-01-10,15.507,15.96199,15.472,15.901198,384101260,15.909
2023-01-11,15.83951,16.028,15.563,15.993153,353284930,16.000999
2023-01-12,16.1,16.636999,15.492,16.502903,551409060,16.511
2023-01-13,16.278,16.922001,16.165001,16.890711,447287060,16.899
2023-01-17,16.899,17.728001,16.899,17.693319,511102160,17.702
2023-01-18,17.667,17.872999,17.282,17.368481,439623550,17.377001
2023-01-19,17.035999,17.197001,16.731001,16.756779,452931600,16.764999
2023-01-20,17.011,17.856001,16.825001,17.830252,564967120,17.839001
2023-01-23,18.063999,19.245001,17.817499,19.183588,655162590,19.193001
2023-01-24,18.827,19.495001,18.82,19.25555,496204100,19.264999
2023-01-25,18.9125,19.370001,18.58,19.313526,449537110,19.323
2023-01-26,19.701,20.166,19.278,19.79229,489535420,19.802
2023-01-27,19.462,20.628,19.405001,20.355013,542141980,20.365
2023-01-30,19.950001,20.139999,19.15,19.152605,488611150,19.162001
2023-01-31,19.1695,19.687,18.950001,19.52742,498016580,19.537001
2023-02-01,19.691,21.191999,19.611,20.93273,660477040,20.943001
2023-02-02,21,21.948999,20.700001,21.698355,564275800,21.709
2023-02-03,21,21.744989,20.789,21.089653,429365950,21.1
2023-02-06,20.806,21.57,20.785999,21.078657,452197090,21.089001
2023-02-07,21.382,22.259001,21.15,22.162127,664149610,22.173
2023-02-08,22.386999,22.878,22.008011,22.194111,559651220,22.205
2023-02-09,22.606001,23.02,22.120001,22.326046,523875780,22.337
2023-02-10,21.690001,22.077641,20.811001,21.254572,550736750,21.264999
2023-02-13,21.538,22.048,20.962,21.777313,474918620,21.788
2023-02-14,21.577999,23.0488,21.365999,22.959736,675473500,22.971001
2023-02-15,22.549,22.855,22.106001,22.752834,421188260,22.764
2023-02-16,22.132999,22.549999,21.9268,21.991211,412026280,22.002001
2023-02-17,21.631001,21.74,20.975,21.377512,465887640,21.388
2023-02-21,21,21.493799,20.618,20.644871,410014550,20.655001
2023-02-22,20.707001,21.104,20.421,20.743822,513184320,20.754
2023-02-23,23.440001,23.888,23.025,23.652395,1117995410,23.664
2023-02-24,23.225,23.474001,22.947001,23.274582,589715910,23.285999
2023-02-27,23.67,23.87994,23.454,23.489473,452993670,23.500999
2023-02-28,23.372,23.825001,23.205999,23.204615,455962800,23.216
2023-03-01,23.191999,23.255569,22.507999,22.686869,460025620,22.698
2023-03-02,22.488001,23.3804,22.431999,23.302567,390074650,23.313999
2023-03-03,23.32,23.9,23.129999,23.878283,412393300,23.889999
2023-03-06,23.891001,24.247999,23.487,23.542452,437429230,23.554001
2023-03-07,23.6,24.125,23.240999,23.280533,515153880,23.288
2023-03-08,23.487,24.200001,23.4235,24.173246,513573390,24.181
2023-03-09,24.174999,24.454,23.382839,23.428488,501256990,23.436001
2023-03-10,23.409,23.627001,22.726,22.957636,474865650,22.965
2023-03-13,22.752001,23.298,22.297001,22.958635,421890320,22.966
2023-03-14,23.496,24.219,23.459999,24.055285,474910130,24.063
2023-03-15,23.761,24.285999,23.360001,24.220234,524485740,24.228001
2023-03-16,24.027,25.587999,23.893999,25.532812,584946260,25.541
2023-03-17,25.982,26.399,25.667999,25.716753,848546560,25.725
2023-03-20,25.615,26.024,25.129829,25.891693,432747190,25.9
2023-03-21,26.18,26.392,25.381001,26.190601,547407760,26.198999
2023-03-22,26.424999,27.589001,26.237,26.459513,797295110,26.468
2023-03-23,27.115499,27.499001,26.690001,27.182281,561071940,27.191
2023-03-24,27.031,27.167,26.355,26.770412,455414070,26.778999
2023-03-27,26.837,27,26.365,26.522493,361025740,26.531
2023-03-28,26.447001,26.513,25.85,26.401531,356103780,26.41
2023-03-29,26.825001,27.077999,26.597,26.975346,393693870,26.983999
2023-03-30,27.229,27.499001,27.101999,27.37422,364515740,27.382999
2023-03-31,27.139999,27.834311,27.105,27.768093,433932770,27.777
2023-04-03,27.509001,28,27.336,27.956032,398715600,27.965
2023-04-04,27.966,28,27.306999,27.444197,368591530,27.452999
2023-04-05,26.829,26.997999,26.395,26.872381,515014740,26.881001
2023-04-06,26.584,27.08,26.427,27.02833,397654340,27.037001
2023-04-10,26.823,27.620991,26.669001,27.570158,395278550,27.579
2023-04-11,27.723499,27.790001,27.125999,27.16029,314378170,27.169001
2023-04-12,27.370001,27.467991,26.4475,26.486507,446258950,26.495001
2023-04-13,26.733999,26.8869,26.329,26.454515,353615280,26.462999
2023-04-14,26.504,26.882999,26.219999,26.749418,395660130,26.757999
2023-04-17,26.5655,27.006001,26.43318,26.993343,321471300,27.002001
2023-04-18,27.533501,28.110001,27.357,27.658129,604811540,27.667
2023-04-19,27.361,28,27.232,27.922045,358660410,27.931
2023-04-20,27.671,28.030001,27,27.09531,427713260,27.104
2023-04-21,26.952,27.183001,26.722,27.110304,345102770,27.118999
2023-04-24,27.013,27.36599,26.671009,27.033329,339281860,27.042
2023-04-25,27.077999,27.247,26.225,26.232588,378527160,26.240999
2023-04-26,27.002001,27.33,26.705099,26.947357,406336810,26.955999
2023-04-27,27.363001,27.495001,26.62501,27.21727,377161190,27.226
2023-04-28,27.225,27.757999,27.07148,27.740105,292216140,27.749001
2023-05-01,27.84,29.058439,27.780001,28.90073,570328530,28.91
2023-05-02,28.68,28.835991,28.083,28.200954,402729570,28.209999
2023-05-03,27.84,28.367001,27.472,27.793085,383387400,27.802
2023-05-04,27.650999,27.858999,27.24,27.553164,321850410,27.562
2023-05-05,27.8255,28.754999,27.731001,28.670803,361494080,28.68
2023-05-08,28.521999,29.219999,28.35,29.141653,344978900,29.150999
2023-05-09,28.899,28.973,28.450001,28.561836,314869460,28.570999
2023-05-10,29.004999,29.113001,28.461281,28.87574,369349980,28.885
2023-05-11,28.896,28.950001,28.246,28.568836,322149030,28.577999
2023-05-12,28.528999,28.780001,28.046,28.330914,274222250,28.34
2023-05-15,28.508499,28.969,28.152,28.943716,293925870,28.952999
2023-05-16,28.841,29.870001,28.832001,29.203632,449404940,29.212999
2023-05-17,29.584,30.198999,29.43001,30.168324,432535410,30.177999
2023-05-18,30.41,31.827999,30.32,31.667843,748725010,31.677999
2023-05-19,31.535999,31.58,30.916,31.253975,473907650,31.264
2023-05-22,30.900999,31.52,30.68,31.166004,371999670,31.176001
2023-05-23,31,31.288,30.631001,30.67816,356253260,30.688
2023-05-24,30.209999,30.607,29.806,30.528208,721418510,30.538
2023-05-25,38.522999,39.48,36.634998,37.967823,1543910670,37.98
2023-05-26,37.889999,39.169998,37.549999,38.933514,714396760,38.945999
2023-05-30,40.595001,41.938,39.949001,40.098141,923401100,40.111
